,FALSE,9,Previous Smaller Element,Problem Link,Medium,Solution Link,"amazon, meta , microsoft, apple, visa , oracle, intuit, citadel, samsung, paypal , ebay ",
,FALSE,10,Celebrity Problem ,Problem Link,Medium,Solution Link,"linkedin, meta, microsoft, amazon, uber, salesforce, phonepe",
,FALSE,11,Get Min Element from Stack,Problem Link,Medium,Solution Link,"Google, meta, amazon, saleforce, intuit , paypal, adobe, salesforce, Nike ",
,FALSE,12,Circular Tour / Gas Station,Problem Link,Medium,Solution Link,"amazon, microsoft, goldman sachs, intuit ,IBM ",
,FALSE,13,Rotten Oranges,Problem Link,Medium,,"amazon, google, microsoft, meta, oracle, adobe, cisco, Infosys , Salesforce ,BNY Mellon",
,FALSE,14,Stock Span,Problem Link,Medium,Solution Link,"Amazon , google, Microsoft, Oracle, Samsung , Meta , Intuit , Phonepe, zepto , Flipkart ",
,FALSE,15,Max Area in Histogram,Problem Link,Hard,Solution Link,"Adobe, apple, Meta , Amazon, google, microsoft ",
,,,,,,,,
,,,,,,,,
BINARY TREES,FALSE,1,Inorder,Problem Link,Easy,Solution Link,"google , amazon , meta , microsoft ,adobe, uber ",
,FALSE,2,Preorder,Problem Link,Easy,Solution Link,"salesforce, amazon, microsoft, meta , google ,adobe",
,FALSE,3,Postorder,Problem Link,Easy,Solution Link,"Amazon ,meta , google, apple, adobe ",
,FALSE,4,Symmetric Tree,Problem Link,Easy,," Amazon , Google, Oracle, Apple,meta,Uber,Intuit ,Adobe ",
,FALSE,5,Minimum Distance between Nodes,Problem Link,Easy,https://www.youtube.com/watch?v=dSBcCynP1nA&list=PLfqMhTWNBTe137I_EPQd34TsgV6IO55pt&index=100,"amazon, google, meta , linkedin , adobe, microsoft ",
,FALSE,6,Are 2 Trees Identical or Not,Problem Link,Easy,Solution Link,"meta , google , microsoft,",
,FALSE,7,Morris Inorder Traversal,Problem Link,Easy,Solution Link,"Google,amazon, meta ,apple, adobe, TCS, flipkart , uber, liinkedin ",
,FALSE,8,Diameter,Problem Link,Easy,Solution Link,"google, amazon, meta , microsoft , apple, adobe, uber",
,FALSE,9,Check if Tree is Height Balanced,Problem Link,Easy,,"amazon , meta , amazon , google ,visa , oracle , TCS , Adobe ",
,FALSE,10,Subtree of Another Tree,Problem Link,Easy,Solution Link, Amazon google microsoft adobe uber apple ,
,FALSE,11,Check if BT Mirror of itself or not,Problem Link,Easy,,"Amazon, google, meta, uber , morgan stanley , ebay,microsoft ",
,FALSE,12,Top View of a Tree,Problem Link,Medium,Solution Link,"amazon, google, meta, linkedin , apple, adobe,microsoft ",
,FALSE,13,Bottom View of a Tree,Problem Link,Medium,,"meta , amazon, google , uber, oracle, flipkart , JP morgan, accolite",
,FALSE,14,Level Order ,Problem Link,Medium,,"josh technology , amazon, google, adobe ",
,FALSE,15,Kth Level of Tree,Problem Link,Medium,Solution Link,"meta , google, amazon, adobe, microsoft ",
,FALSE,16,LCA,Problem Link,Medium,Solution Link,"meta , amazon , google, linkedin , intuit , oracle,adobe, flipkart , salesforce, morgan stanley ",
,FALSE,17,Transform to Sum Tree,Problem Link,Medium,Solution Link,"SAP , Amazon, Ebay , Microsoft ",
,FALSE,18,Construct BT from Inorder & Pre order,Problem Link,Medium,Solution Link," Amazon,  Microsoft, meta , adobe, uber , VMware , apple ",
,FALSE,19,Construct BT from Inorder & Post order,Problem Link,Medium,,"Google, amazon, microsoft , adobe, bloomberg ",
,FALSE,20,Flatten BT to LL,Problem Link,Medium,Solution Link,"Google, meta , amazon ,microsoft, Myntra , adobe, oracle, apple",
,FALSE,21,Max Width of BT,Problem Link,Medium,Solution Link,"Amazon , Meta , Uber, Microsoft, Uber , Adobe,Apple , google ",
,FALSE,22,Zig Zag Traversal of BT,Problem Link,Medium,,"Amazon , meta, microsoft, google,oracle, Adobe, Walmart Labs , Ebay , Flipkart",
,FALSE,23,Max Path Sum,Problem Link,Hard,,"Google, Meta , Amazon , Oracle, Salesforce, Goldman sachs , Uber, Flipkart ",
,FALSE,24,Kth Ancestor,Problem Link,Hard,,"Google , Amazon ,Microsoft ",
,,,,,,,,
,,,,,,,,
BST,FALSE,1,Kth largest in BST,Problem Link,Easy,,"Meta , Amazon, Google , Adobe, Atlassian , Salesforce ",
,FALSE,2,Sorted Array to Balanced BST,Problem Link,Easy,Solution Link,"Amazon , Google, Meta, Apple, Adobe , Airbnb , Samsung ",
,FALSE,3,Validate BST,Problem Link,Medium,Solution Link,"Amazon, Google, Meta, Salesforce, IBM , Adobe, Citadel , Oracle , Uber",
,FALSE,4,Kth Smallest in BST,Problem Link,Medium,Solution Link, Accolite Amazon Google Uber Microsoft Meta ,
,FALSE,5,LCA in BST,Problem Link,Medium,Solution Link,"Meta, Amazon, Linkedin , Bloomberg, Oracle, Samsung , Apple",
,FALSE,6,Populate Next Right Pointers,Problem Link,Medium,Solution Link,"Meta , Amazon, Walmart Labs, Flipkart, Saleforce,Adobe,Oracle ",
,FALSE,7,Recover BST,Problem Link,Medium,Solution Link,"Microsoft, amazon, google, oracle, adobe ",
,FALSE,8,Construct from Preorder,Problem Link,Medium,Solution Link," Adobe, Meta , Google, Microsoft",
,FALSE,9,BST Iterator,Problem Link,Medium,Solution Link,"Meta , Amazon, Microsoft, Linkedin , Adobe ",
,FALSE,10,Flatten BST to Sorted list,Problem Link,Medium,,"Meta , microsoft, Amazon, Nvidia",
,FALSE,11,Inorder Successor,Problem Link,Medium,Solution Link,"Amazon , Google, meta , Citadel, Nvidia,Linkedin ,uber, Intuit , Qualcomm",
,FALSE,12,Inorder Predecessor,Problem Link,Medium,Solution Link,"Microsoft , Bloomberg ",
,FALSE,13,Largest BST in BT ,Problem Link,Hard,Solution Link,"Microsoft , Meta ",
,FALSE,14,Serialize & Deserialize BST,Problem Link,Hard,,"Amazon, Google, Meta , Oracle, Flipkart , Adobe, Microsoft ",
,FALSE,15,Merge 2 BSTS ,Problem Link,Hard,Solution Link,"Meta, Microsoft ",
,,,,,,,,
,,,,,,,,
HEAPS,FALSE,1,Merge K Sorted Arrays,https://leetcode.com/problems/merge-sorted-array/description/?envType=problem-list-v2&envId=sorting,Easy,,"google, meta , amazon, microsoft, HCL , Cisco, IBM ,Oracle, Adobe",
,FALSE,2,K most Frequent Elements,https://leetcode.com/problems/top-k-frequent-elements/description/,Medium,,"Meta , Amazon, Google , Microsoft , Oracle, Goldman sachs , Uber, Salesforce ",
,FALSE,3,Heap Sort,https://leetcode.com/problems/sort-an-array/description/,Medium,,"Adobe , TCS , Amazon, Google, Meta , hive, Infosys , Oracle,  Apple ",
,FALSE,4,Kth Smallest Element,https://leetcode.com/problems/kth-smallest-element-in-a-sorted-matrix/description/?envType=problem-list-v2&envId=sorting,Medium,," Amazon, Meta , apple, phonepe , salesforce",
,FALSE,5,Median from Stream,https://leetcode.com/problems/find-median-from-data-stream/description/,Hard,," Google, Amazon, Meta, Apple, Microsoft, Pinterest , Paypal, Oracle,Goldman Sachs ",
,FALSE,6,Smallest Range in K Sorted List,https://leetcode.com/problems/smallest-range-covering-elements-from-k-lists/description/,Hard,,"Amazon, Phonepe , Meta , Microsoft , Flipkart , DE shaw, Adobe ",
,,,,,,,,
,,,,,,,,
TRIE,FALSE,1,Longest Common Prefix,https://leetcode.com/problems/longest-common-prefix/description/,Easy,,"amazon, TCS, Visa, Accenture, Infosys , Deloitte , Google , Oracle",
,FALSE,2,Word Break Problem,https://leetcode.com/problems/word-break/description/,Medium,," Amazon,  Google , Netflix , Intuit , Walmart Labs , Salesforce , Flipkart , Uber, oracle ",
,FALSE,3,Implement a Phone Directory,https://leetcode.com/problems/design-phone-directory/description/,Medium,,Google ,
,FALSE,4,Implement a Trie,https://leetcode.com/problems/implement-trie-prefix-tree/description/,Medium,,"Google, Amazon, Apple, Meta, Uber, Nvidia , Samsung ",
,FALSE,5,Longest String with All Prefix,https://leetcode.com/problems/longest-word-with-all-prefixes/description/,Medium,,Google ,
,,,,,,,,
,,,,,,,,
GRAPH,FALSE,1,Flood Fill Algorithm,https://leetcode.com/problems/flood-fill/description/,Easy,,"Samsung , Flipkart ,SAP Labs , Ola , amazon, microsoft, adobe ",
,FALSE,2,BFS,https://leetcode.com/problems/clone-graph/description/,Medium,Solution Link,"Samsung , Intuit, Accolite , Amazon ",
,FALSE,3,DFS,https://leetcode.com/problems/clone-graph/description/,Medium,Solution Link,"Amazon, Meta , Google, Visa, Adobe, Microsoft, Apple, Oracle, Flipkart ",
,FALSE,4,Detect cycle in undirected using BFS,https://leetcode.com/problems/redundant-connection/,Medium,,"Amazon, Meta , Google, Visa, Adobe, Microsoft, Apple, Oracle, Flipkart ",
,FALSE,5,Detect cycle in undirected using DFS,https://leetcode.com/problems/redundant-connection/,Medium,,"Google , Meta , microsoft, Inmobi , Amazon  ",
,FALSE,6,Detect cycle in directed using BFS,https://leetcode.com/problems/course-schedule/description/,Medium,,"Google , Meta , microsoft, Inmobi , Amazon ",
,FALSE,7,Detect cycle in directed using DFS,https://leetcode.com/problems/course-schedule/description/,Medium,,"Google, Amazon, Meta ,Microsoft, Apple, uber, Adobe,Yahoo",
,FALSE,8,Topological Sorting (DFS),https://leetcode.com/problems/course-schedule-ii/,Medium,,"Flipkart, Morgan Stanley, Accolite, Amazon , Microsoft, OYO , Samsung  , DE Shaw , Visa , Moonfrog Labs ",
,FALSE,9,Prim's Algorithm (MST),https://leetcode.com/problems/min-cost-to-connect-all-points/description/,Medium,,"Flipkart, Morgan Stanley, Accolite, Amazon , Microsoft, OYO , Samsung  , DE Shaw , Visa",
,FALSE,10,Bellman Ford Algorithm,https://leetcode.com/problems/group-the-people-given-the-group-size-they-belong-to/description/,Medium,,"Amazon, Google, Meta, Salesforce, Intuit , Linkedin , Nvidia , Uber, Microsoft",
